word,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.786092625288607,18.66182288685959,20.55338209446051,28.28220118302378,31.110202784022526,24.203930993047805
america,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48607904386799,42.79778048719799,31.46793672393264,44.14782623691517,58.132933669414356,44.45970302978285
hope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.297704739915794,0,0,0,0,0
energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.89653885391525,0,0,0,0
americans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.90124163328274,0,26.040319381930434,24.524831391784183,29.69702171487426
tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6571201074921,0,0,22.935258986761134,19.569135696506738
president,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.412998581701462,0,0,0,0
job,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.671228445594565,0,21.384103333505784,0,43.258089434383315
administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.104836423428022,0,0,0
soviet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86018030277258,0,0,0
child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.62934795730077,31.110202784022526,0
know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.66182075292738,0,23.345635567762425
family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.315794919550935,0,20.42743112179212
let,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.798437580837085,0,22.658999227534117
community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.073913118457586,0,0
school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.556555779743736,0,0
tonight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.832031317364237,18.393623543838135,23.00231739764827
care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.314673978650386,0,0
ask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62486419369859,0,0
terrorist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.616504303199584,0
iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.799850126030382,0
life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.756114176715034,0
health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.074868860276585,0
like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.770749291906274
come,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.367522101107202
